model_name,aggregation,target,population,n_seeds,prevalence,auroc,avg_precision,n_rank0,n_sentinel,caveat
gemma-2-2b-it,mean_pair,never_repaired,all_seeds,508,0.04330708661417323,0.9499158249158249,0.3947038032424891,419,22,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
llama-3.1-8b-instruct,worst_pair,worsened_at_oprank,all_seeds,508,0.35826771653543305,0.29886064855390004,0.2581528225016906,349,66,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
llama-3.1-8b-instruct,worst_pair,worsened_at_oprank,initially_failing,159,0.18238993710691823,0.3279840848806367,0.13377810765541062,0,66,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
phi-4-mini-instruct,mean_pair,never_repaired,all_seeds,508,0.03543307086614173,0.9513605442176871,0.444971899648392,401,18,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
phi-4-mini-instruct,mean_pair,never_repaired,initially_failing,107,0.16822429906542055,0.7322097378277154,0.444971899648392,0,18,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
phi-4-mini-instruct,mean_pair,high_or_never,all_seeds,508,0.051181102362204724,0.9593440791573571,0.5251254378315059,401,18,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
phi-4-mini-instruct,mean_pair,high_or_never,initially_failing,107,0.24299065420560748,0.7580721747388415,0.5251254378315059,0,18,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
phi-4-mini-instruct,mean_pair,worsened_at_oprank,all_seeds,508,0.43700787401574803,0.4126661626661627,0.40559979632729415,401,18,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
phi-4-mini-instruct,mean_pair,worsened_at_oprank,initially_failing,107,0.411214953271028,0.5526695526695526,0.4441683369057452,0,18,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
phi-4-mini-instruct,worst_pair,never_repaired,all_seeds,508,0.07086614173228346,0.9265242467043314,0.4632938274994619,344,36,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
phi-4-mini-instruct,worst_pair,never_repaired,initially_failing,164,0.21951219512195122,0.7290581597222222,0.4632938274994619,0,36,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
phi-4-mini-instruct,worst_pair,high_or_never,all_seeds,508,0.09448818897637795,0.9222826086956523,0.5017883893606333,344,36,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
phi-4-mini-instruct,worst_pair,high_or_never,initially_failing,164,0.2926829268292683,0.6918103448275863,0.5017883893606334,0,36,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
phi-4-mini-instruct,worst_pair,worsened_at_oprank,all_seeds,508,0.41929133858267714,0.41857245165910717,0.39099830617226533,344,36,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
phi-4-mini-instruct,worst_pair,worsened_at_oprank,initially_failing,164,0.38414634146341464,0.5374823196605375,0.4119809796787022,0,36,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
qwen2.5-7b-instruct,mean_pair,never_repaired,all_seeds,508,0.18700787401574803,0.9320886963170638,0.7263113082876065,292,95,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
qwen2.5-7b-instruct,mean_pair,never_repaired,initially_failing,216,0.4398148148148148,0.7682035667681602,0.7263113082876067,0,95,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
qwen2.5-7b-instruct,mean_pair,high_or_never,all_seeds,508,0.21850393700787402,0.9433135906687544,0.7763741634974043,292,95,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
qwen2.5-7b-instruct,mean_pair,high_or_never,initially_failing,216,0.5138888888888888,0.7856713856713856,0.7763741634974043,0,95,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
qwen2.5-7b-instruct,mean_pair,worsened_at_oprank,all_seeds,508,0.328740157480315,0.25506172405921296,0.22711834510916157,292,95,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
qwen2.5-7b-instruct,mean_pair,worsened_at_oprank,initially_failing,216,0.16666666666666666,0.4351851851851851,0.14904821345975144,0,95,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
qwen2.5-7b-instruct,worst_pair,never_repaired,all_seeds,508,0.2736220472440945,0.920444132498879,0.775801737023479,231,139,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
qwen2.5-7b-instruct,worst_pair,never_repaired,initially_failing,277,0.5018050541516246,0.7872745282035242,0.7758017370234791,0,139,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
qwen2.5-7b-instruct,worst_pair,high_or_never,all_seeds,508,0.3090551181102362,0.9302085034569111,0.8177821988284649,231,139,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
qwen2.5-7b-instruct,worst_pair,high_or_never,initially_failing,277,0.5667870036101083,0.795859872611465,0.817782198828465,0,139,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
qwen2.5-7b-instruct,worst_pair,worsened_at_oprank,all_seeds,508,0.3405511811023622,0.269459063066172,0.23978748056871,231,139,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
qwen2.5-7b-instruct,worst_pair,worsened_at_oprank,initially_failing,277,0.19855595667870035,0.4213759213759214,0.1685685085237139,0,139,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
